safe,suggestive,questionable,explicit,semi-grimdark,grimdark,grotesque,total,timestamp,timestep
25, 0, 1, 16, 0, 0, 0, 68, 494342.506387, 3600.711183
12, 1, 1, 6, 0, 0, 0, 37, 497943.771777, 3601.26539015
23, 2, 6, 12, 0, 1, -1, 39, 501544.980027, 3601.20824996
14, 6, 1, 7, 0, 1, 0, 34, 505145.984154, 3601.00412699
20, 1, 7, 9, 0, -1, 0, 24, 508747.071772, 3601.0876181
46, 2, 1, 14, 3, 1, 1, 72, 512348.451449, 3601.37967716
24, 5, 4, 11, -1, 0, 1, 42, 515949.547783, 3601.09633414
18, 3, 1, 9, 0, 0, 0, 31, 519550.823492, 3601.27570905
26, 2, 3, 9, 1, 0, 0, 41, 523152.037448, 3601.21395617
13, 2, -1, 7, 0, 0, 0, 18, 526752.663794, 3600.62634604
14, -1, 1, 5, 0, 0, 0, 22, 530353.850907, 3601.18711309
25, 0, 7, 5, -1, 1, 0, 32, 533954.466732, 3600.61582503
18, 1, -1, 0, 0, 1, 1, 41, 537555.764458, 3601.29772594
27, 2, 1, 4, 1, 0, 0, 24, 541156.399293, 3600.63483495
23, 3, 0, 4, -1, 0, 0, 29, 544757.075851, 3600.67655796
6, 0, 0, -6, 0, 0, 0, 0, 548358.199492, 3601.12364098
11, 3, 0, 6, 0, 0, 0, 14, 551959.242105, 3601.04261301
9, 0, 0, 4, 0, 0, 0, 21, 555560.578679, 3601.33657408
13, 3, 3, 0, 1, 0, 0, 0, 559161.698088, 3601.11940917
18, -1, 0, 1, 1, 0, 0, 31, 562762.886929, 3601.18884104
9, 0, 1, 3, 1, 0, 0, 28, 566364.068215, 3601.18128613
24, 1, 1, 3, 0, 1, 0, 23, 569965.342271, 3601.27405609
32, 3, 0, 20, 0, 1, 0, 48, 573566.605862, 3601.26359114
11, 3, 2, 13, 1, 0, 0, 26, 577167.205257, 3600.59939494
20, 6, 4, 9, 1, 0, 0, 43, 580768.464644, 3601.25938696
22, 0, 1, 3, 0, 0, 0, 26, 584369.831857, 3601.36721297
32, 2, 0, 9, 0, -1, 0, 43, 587970.89767, 3601.06581303
29, 1, 2, 24, 0, 4, 0, 36, 591571.476093, 3600.57842305
25, 2, 2, 3, 0, 0, 0, 49, 595172.101353, 3600.62526017
35, 2, 2, 10, 0, 0, 0, 36, 598772.723607, 3600.62225406
25, 5, 1, 13, 0, 5, 0, 61, 602374.011608, 3601.28800112
17, 1, 1, 4, 0, 0, 0, 34, 605974.604172, 3600.59256399
30, -1, 1, 5, 0, 0, 0, 29, 609575.771476, 3601.16730403
14, 0, 4, 3, 1, -1, 0, 29, 613177.065297, 3601.29382113
41, 1, 3, 3, 0, 1, 1, 37, 616778.330589, 3601.26529206
29, 1, 0, 12, 0, 0, 0, 46, 620379.614545, 3601.28395611
18, 0, 1, 4, 0, 0, 0, 17, 623980.334322, 3600.71977698
1, 0, 2, 2, 2, 0, 0, 13, 627581.3093, 3600.97497795
29, 7, 1, 7, 1, 0, 0, 0, 631182.557054, 3601.24775404
13, 0, 1, 2, 0, 1, 0, 57, 634783.747201, 3601.19014697
14, 7, -1, 7, 0, 0, 0, 27, 638385.050397, 3601.30319616
-11, 3, -1, 17, 0, 0, 0, 0, 641985.703866, 3600.653469
20, -5, 11, 1, 1, 0, 1, 36, 645586.956592, 3601.25272608
14, 0, 0, 2, 0, 0, 0, 16, 649188.126601, 3601.17000898
28, 2, 0, 5, 0, 0, 0, 38, 652789.363622, 3601.23702095
9, 0, 3, 8, 0, 2, 0, 17, 656390.169178, 3600.80555601
6, 1, -1, 2, 0, 0, 0, 12, 659990.850252, 3600.68107415
34, 3, 1, 3, 0, 1, 0, 36, 663591.416567, 3600.56631509
54, 3, 2, 4, 0, 0, 0, 70, 667192.672461, 3601.25589403
39, 2, 3, 6, 0, 0, 0, 0, 670793.837366, 3601.1649051
13, 3, 1, 6, 0, 1, 0, 68, 674394.515245, 3600.67787896
23, 1, 0, 2, 1, 1, 0, 39, 677995.234946, 3600.71970101
25, 2, 1, 11, 0, 1, 0, 37, 681595.823354, 3600.58840801
27, 2, 2, 8, 0, -1, 0, 29, 685197.219372, 3601.39601803
23, 1, 6, 14, 0, 4, 1, 46, 688798.449048, 3601.22967604
6, 1, 2, 1, 0, 0, 0, 28, 692399.121846, 3600.67279796
51, 6, 2, 10, 2, 0, 0, 52, 696000.419165, 3601.29731913
28, 2, 2, 12, 2, 0, 0, 46, 699601.908858, 3601.48969306
34, 4, 5, 5, 0, 1, 1, 49, 703203.01975, 3601.11089212
19, 1, 4, 6, 0, 0, 0, 21, 706804.893185, 3601.87343514
10, 5, 1, 3, 0, 0, 0, 30, 710406.138524, 3601.24533906
7, 0, 1, 5, 0, 0, 0, 13, 714006.798967, 3600.66044312
16, 0, 0, 2, -2, 0, 0, 17, 717608.018408, 3601.21944106
12, 3, -1, 4, 1, 0, 0, 10, 721208.719006, 3600.70059806
12, 4, 1, 4, 0, 0, 1, 0, 724809.390945, 3600.67193896
10, 2, 1, 1, 0, 0, 0, 41, 728410.697307, 3601.30636211
16, 2, -1, 0, 0, 0, 0, 32, 732011.386063, 3600.6887561
19, 4, 2, 1, 1, 1, 0, 13, 735612.681328, 3601.29526506
16, 1, 0, 3, 1, 0, 0, 28, 739214.014316, 3601.33298808
19, 2, 3, 2, 0, 0, 0, 0, 742814.703902, 3600.68958601
31, 0, 2, 10, 1, 0, 0, 62, 746416.031362, 3601.32746006
